# Label, Hemi, Nuclei
8109, Left, LGN
8209, Right, LGN
8115, Left, MGN
8215, Right, MGN
8121, Left, PuI
8221, Right, PuI
8123, Left, PuM
8223, Right, PuM
8111, Left, L-Sg
8211, Right, L-Sg
8133, Left, VPL
8233, Right, VPL
8106, Left, CM
8206, Right, CM
8128, Left, VLa
8228, Right, VLa
8120, Left, PuA
8220, Right, PuA
8113, Left, MDm
8213, Right, MDm
8118, Left, Pf
8218, Right, Pf
8127, Left, VAmc
8227, Right, VAmc
8112, Left, MDl
8212, Right, MDl
8104, Left, CeM
8204, Right, CeM
8126, Left, VA
8226, Right, VA
8116, Left, MV(Re)
8216, Right, MV(Re)
8125, Left, R
8225, Right, R
8130, Left, VM
8230, Right, VM
8105, Left, CL
8205, Right, CL
8122, Left, PuL
8222, Right, PuL
8119, Left, Pt
8219, Right, Pt
8103, Left, AV
8203, Right, AV
8117, Left, Pc
8217, Right, Pc
8129, Left, VLp
8229, Right, VLp
8110, Left, LP
8210, Right, LP